,sample_id,id,sentence,metaphor,gold_domain,majority_vote,top_ranked_domains
42,93,513,"And when taken together with the administration’s other initiatives, chiefly the fuel efficiency standards for cars and trucks, it reinforces Mr. Obama’s credibility and leverage with other nations heading into the United Nations climate change conference in Paris in December.",taken,OBJECT HANDLING,OBJECT HANDLING,"[""OBJECT HANDLING"",""RESOURCE"",""PHYSICAL HARM"",""TOOL"",""GIFT""]"
43,94,505,"The verdict will hang on whether we put in place policies that will drive the development and deployment of clean technologies, re-energize our economies, and tackle global climate change.",hang,BUILDING,BUILDING,"[""BUILDING"",""OBJECT HANDLING"",""STAGE"",""CONTAINER"",""LIFE STAGE""]"
44,95,471,"I welcome your thoughts on any of these issues, and in particular to this question: How seriously should you take advice from greens who hang on to their suspicions of nuclear power while arguing that climate change requires a revolution in the way we think and live?",hang,BUILDING,BUILDING,"[""BUILDING"",""SHAPE"",""SCHISM"",""ADDICTION"",""DISEASE""]"
45,96,481,"The W.T.O. has ordered countries to gut programs that encouraged renewable energy and laws that protected workers from unfair foreign competition, as if international commerce were more important than climate change and workers’ rights.",gut,HUMAN BODY,HUMAN BODY,"[""HUMAN BODY"",""ANIMAL"",""MACHINE"",""FOOD"",""A GOD""]"
46,97,493,"Even if Mr. Trump ultimately fails to gut Mr. Obama’s climate change rules, he could ensure that their enforcement is delayed through his term, as lawsuits wind their way through the courts.",gut,HUMAN BODY,HUMAN BODY,"[""HUMAN BODY"",""FURNISHINGS"",""CRIME"",""HIGH POINT"",""GOAL DIRECTED""]"
47,98,509,British officials told the newspaper The Observer that Mr. Bush would “make a historic shift in his position on global warming.”,shift,MOVEMENT,MOVEMENT,"[""MOVEMENT"",""RESOURCE"",""FORWARD MOVEMENT"",""HUMAN BODY"",""GOAL DIRECTED""]"
48,99,492,"Slowing the pace of climate change could help, but the bears cannot wait for radical shifts in public policy.",shifts,MOVEMENT,MOVEMENT,"[""MOVEMENT"",""RESOURCE"",""BODY OF WATER"",""A GOD"",""OBESITY""]"
49,100,497,"“Legitimacy has shifted to the side of the climate skeptics, and that is a big, big problem,” Ben Stewart, a spokesman for Greenpeace, said at the meeting of environmentalists here.",shifted,MOVEMENT,MOVEMENT,"[""MOVEMENT"",""UPWARD MOVEMENT"",""MAGIC"",""THEFT"",""INSANITY""]"
0,101,677,"The emergence of climate change as an issue dividing Republicans shows just how far the discussion has shifted since 1997, when the Senate voted, 95 to 0, to oppose any international climate treaty that could hurt the American economy or excused China from responsibilities.",shifted,MOVEMENT,MOVEMENT,"[""MOVEMENT"",""UPWARD MOVEMENT"",""FURNISHINGS"",""CRIME"",""MORAL DUTY""]"
1,102,708,The divergent costumes of the women signal lifestyle shifts that now confront the Apa Tani just as climate change heightens the challenges facing their Himalayan paddy paradise.,shifts,MOVEMENT,MOVEMENT,"[""MOVEMENT"",""RESOURCE"",""BUILDING"",""DARKNESS"",""PHYSICAL BURDEN""]"
2,103,695,"DAVOS, Switzerland, Jan. 28 — Here in the Swiss mountains at the World Economic Forum, the annual conclave of world leaders, concerns over a growing digital divide this year have taken a back seat to the challenge of climate change.",seat,FURNISHINGS,FURNISHINGS,"[""FURNISHINGS"",""CONTAINER"",""PHYSICAL LOCATION"",""DESIRE"",""SHAPE""]"
3,104,700,"He added, “The federal government’s willing suspension of belief when it comes to global climate change has left it to the states to stand up and force action.”",stand,OBJECT HANDLING,MOVEMENT,"[""OBJECT HANDLING"",""MOVEMENT"",""ACCIDENT"",""FAMILY"",""BATTLE""]"
4,105,733,President Xi Jinping has promised that China will take a “driving seat” in responding to climate change.,seat,FURNISHINGS,FURNISHINGS,"[""FURNISHINGS"",""VEHICLE"",""MAGIC"",""PLIABILITY"",""PROTECTION""]"
5,106,713,Many fear climate change will take a back seat to getting the global economy back on track after the coronavirus pandemic.,seat,FURNISHINGS,FURNISHINGS,"[""FURNISHINGS"",""CONFINEMENT"",""STORY"",""FIRE"",""FOOD""]"
6,107,672,"During his first term, climate change took a back seat to the financial crisis, and then to his decision to push health care reform.",seat,FURNISHINGS,FURNISHINGS,"[""FURNISHINGS"",""VEHICLE"",""BUILDING"",""BODY OF WATER"",""STRENGTH""]"
7,108,707,"Addressing catastrophes like climate change, mass terrorist attacks and refugee crises may be beyond our reach unless we come to terms with how our minds perform the arithmetic of compassion.",come,MOVEMENT,MOVEMENT,"[""MOVEMENT"",""LIFE STAGE"",""STAGE"",""CROP"",""ACCIDENT""]"
8,109,709,"As the nation struggles to come to terms with greenhouse gas emissions, climate change and mining’s environmental toll, Mr. Murray stands at the center of the economic, social and political debate.",come,MOVEMENT,MOVEMENT,"[""MOVEMENT"",""OBJECT HANDLING"",""BUILDING"",""WAR"",""MONSTER""]"
9,110,719,"This last point is by far the most important because it is where science reporting stops being the ''gee whiz'' leavening in a heavy loaf of serious news reports and starts helping readers or listeners or viewers come to their own conclusions about the increasing number of issues -- global warming, reproductive rights, missile technology -- that hinge on science.",come,MOVEMENT,MOVEMENT,"[""MOVEMENT"",""OBJECT HANDLING"",""MAZE"",""FORCEFUL EXTRACTION"",""BARRIER""]"
10,111,687,"The inspector general’s report, however, was unable to come to a conclusion because Solomon’s description of advice she received on providing files related to the climate panel lay in the arena of “she says, he says,” with little sign of a route forward.",come,MOVEMENT,MOVEMENT,"[""MOVEMENT"",""OBJECT HANDLING"",""FAMILY"",""CONTAINER"",""CONTAMINATION""]"
11,112,726,"Global warming, come to think of it, may offer the best metaphor for understanding the conservative ascent.",come,MOVEMENT,MOVEMENT,"[""MOVEMENT"",""OBJECT HANDLING"",""TOOL"",""STRUGGLE"",""PROTECTION""]"
12,113,688,"Neither of those, came to pass, however, and with Republicans signaling that issues like climate change will not be driving the energy agenda in the new Congress, it appears unlikely that such measures will be explored again anytime soon.",signaling,MOVEMENT,LIGHT,"[""MOVEMENT"",""VEHICLE"",""FIRE"",""MORAL DUTY"",""WEATHER""]"
13,114,671,THEY ARE SERIOUS ABOUT CLIMATE CHANGE President Obama’s budget makes clear that he wants to address the problem of global climate change.,makes,BUILDING,NO METAPHOR,"[""BUILDING"",""FACTORY"",""ADDICTION"",""CRIME"",""FIRE""]"
14,115,690,"Whitman seems to intend to remain a player, and so makes clear on matters like regulation and global warming where she disagreed with administration policy while remaining loyal to the president who appointed her.",makes,FACTORY,FACTORY,"[""FACTORY"",""BUSINESS"",""HIGH LOCATION"",""ABYSS"",""STRUGGLE""]"
15,116,686,"The Reagan administration fought hard against environmental protections of any kind; the Bush administration made rhetorical gestures but John Sununu, George H.W. Bush’s chief of staff, did not believe in anthropogenic climate change and fought the scientists hard, and ultimately successfully.",gestures,MOVEMENT,MOVEMENT,"[""MOVEMENT"",""JOURNEY"",""BLOOD STREAM"",""TEMPERATURE"",""BACKWARD MOVEMENT""]"
16,117,703,He has signaled he will withdraw the United States from the Paris climate agreement.,signaled,MOVEMENT,LIGHT,"[""MOVEMENT"",""LIGHT"",""PHYSICAL OBJECT"",""DESTROYER"",""LIFE STAGE""]"
17,118,723,Mr. Podesta argued that while Mr. Trump has sought to turn climate change into a “culture war issue of the elite versus regular people” — by linking Mr. Biden to aggressive policy proposals like the Green New Deal — that has backfired in the face of the raging wildfires.,versus,STRUGGLE,COMPETITION,"[""STRUGGLE"",""COMPETITION"",""COMPETITION"",""BUSINESS"",""PLIABILITY""]"
18,119,694,"Leaving a vacancy on the nation’s highest court for an entire year could result in legal gridlock, especially given that the court is expected to rule on politically charged cases involving climate change, labor rights and legal challenges to the Affordable Care Act.",challenges,STRUGGLE,STRUGGLE,"[""STRUGGLE"",""COMPETITION"",""SCHISM"",""PORTAL"",""BUILDING""]"
19,120,716,"WASHINGTON, Dec. 6—                     If the Clinton Administration is struggling to strike a deal on global warming at talks in Kyoto, Japan, that is partly because warring domestic interest groups have spent many months -- and millions of dollars -- on highly effective lobbying campaigns designed to limit the White House's options.",struggling,STRUGGLE,STRUGGLE,"[""STRUGGLE"",""COMPETITION"",""JOURNEY"",""GAP"",""BATTLE""]"
20,121,706,"Less than a week after Mr. McConnell’s op-ed article citing Mr. Tribe, Mr. McConnell’s friend and fellow Republican, Representative Ed Whitfield of Kentucky, was the chairman of a House hearing designed to highlight the legal challenges to the climate change law.",challenges,STRUGGLE,STRUGGLE,"[""STRUGGLE"",""COMPETITION"",""UPWARD MOVEMENT"",""GEOGRAPHIC FEATURE"",""HIGH LOCATION""]"
21,122,739,"The fight over the Keystone XL has largely been portrayed as one about climate change, in which environmental groups like the National Wildlife Federation and 350.org are pitted against the fossil-fuel industry.",pitted,STRUGGLE,COMPETITION,"[""STRUGGLE"",""COMPETITION"",""ABYSS"",""IMPURITY"",""TEMPERATURE""]"
22,123,727,Mr. DiNapoli said the fund would drop stocks that do not meet new standards requiring them to show “future ability to provide investment returns in light of the global consensus on climate change.”,meet,GOAL DIRECTED,GOAL DIRECTED,"[""GOAL DIRECTED"",""RULE ENFORCER"",""WEATHER"",""MORAL DUTY"",""DARKNESS""]"
23,124,675,"The White House expressed its opposition to the Democratic energy bills, saying they did not meet their stated goals of reducing oil imports, strengthening national security, lowering energy prices and beginning to address global warming.",meet,GOAL DIRECTED,GOAL DIRECTED,"[""GOAL DIRECTED"",""POSITION AND CHANGE OF POSITION ON A SCALE"",""CONFINEMENT"",""WAR"",""RACE""]"
24,125,685,The article cited experts who claimed that policy rollbacks by the Trump administration “would make it impossible for the United States to meet Mr. Obama’s commitments under the 2015 Paris Agreement” on climate change.,meet,GOAL DIRECTED,GOAL DIRECTED,"[""GOAL DIRECTED"",""RULE ENFORCER"",""DARKNESS"",""MAZE"",""STRENGTH""]"
25,126,673,"But no such filtration technology exists for global warming gases; automakers say that they would have to increase their average fuel economy in the state by 35 to 50 percent within 11 years to meet the standard, a pace not seen since the United States first started regulating fuel economy in the 1970's.",meet,GOAL DIRECTED,GOAL DIRECTED,"[""GOAL DIRECTED"",""RULE ENFORCER"",""ADDICTION"",""LIGHT"",""EMOTION EXPERIENCER""]"
26,127,681,"But some managers are hinting that the European Union should do the industry a favor and ease draconian penalties on carmakers that do not meet strict limits on carbon dioxide emissions, a cause of climate change.",meet,GOAL DIRECTED,GOAL DIRECTED,"[""GOAL DIRECTED"",""POSITION AND CHANGE OF POSITION ON A SCALE"",""HUMAN BODY"",""BUILDING"",""GAP""]"
27,128,721,"“We’re the most profitable company in the history of the planet, but what will be our long-term health when we are really faced with the regulatory and other challenges around global warming?”",faced,HUMAN BODY,HUMAN BODY,"[""HUMAN BODY"",""CONFINEMENT"",""POSITION AND CHANGE OF POSITION ON A SCALE"",""HAZARDOUS GEOGRAPHIC FEATURE"",""THEFT""]"
28,129,696,"As the term proceeds, the court will also have its say in its first brush with the issue of global climate change.",brush,TOOL,TOOL,"[""TOOL"",""GAME"",""BODY OF WATER"",""THEFT"",""SERVANT""]"
29,130,725,"A, we’re having extreme climate change; B, we’re having floods; C, we’re having refugees; and D, we’re actually facing the extinction of animals on our planet, and then hanging over us is the perpetual warfare.",facing,HUMAN BODY,HUMAN BODY,"[""HUMAN BODY"",""CONFINEMENT"",""PHYSICAL OBJECT"",""CONTAINER"",""THEFT""]"
30,131,729,"JOEL GORDES, an energy consultant, believes that Connecticut's multibillion-dollar insurance industry has a choice: face possible financial ruin from losses due to more frequent and severe storms, droughts and wildfires or commit some of the industry's considerable resources to efforts to stem global warming.",face,HUMAN BODY,HUMAN BODY,"[""HUMAN BODY"",""CONFINEMENT"",""IMPURITY"",""MORAL DUTY"",""MEDICINE""]"
31,132,679,"The pressure to save her country’s international reputation comes as Ms. Merkel faces an unexpectedly strong challenge from the far-right Alternative for Germany, or AfD, the leading opposition party, which has questioned Germany’s national consensus on the role humans play in contributing to climate change.",faces,HUMAN BODY,HUMAN BODY,"[""HUMAN BODY"",""CONFINEMENT"",""FORCEFUL EXTRACTION"",""HUMAN BODY"",""PHYSICAL HARM""]"
32,133,678,"Most important, coal plants are responsible for nearly 40 percent of the carbon dioxide released in the United States, meaning that if we're going to get a handle on global warming, we'll have to get a <HIGHLIGHT>handle</HIGHLIGHT> on coal.",handle,OBJECT HANDLING,OBJECT HANDLING,"[""OBJECT HANDLING"",""CONTAINER"",""GEOGRAPHIC FEATURE"",""BACKWARD MOVEMENT"",""OBJECT HANDLING""]"
33,134,691,"Most important, coal plants are responsible for nearly 40 percent of the carbon dioxide released in the United States, meaning that if we're going to get a handle on global warming, we'll have to get a <HIGHLIGHT>handle</HIGHLIGHT> on coal.",handle,OBJECT HANDLING,OBJECT HANDLING,"[""OBJECT HANDLING"",""CONTAINER"",""CONFINEMENT"",""STAGE"",""FACTORY""]"
34,135,722,"Mr. Podesta argued that for the time being, it was fine for Democrats to focus on drawing contrasts to Mr. Trump’s history of climate change denial.",drawing,VISION,VISION,"[""VISION"",""STORY"",""OBESITY"",""RULE ENFORCER"",""FACTORY""]"
35,136,699,"Mr. Biden and the Democrats spent the week prosecuting arguments against him on Covid-19, unemployment, health care, child care, climate change, foreign policy and his fundamental fitness for the presidency — attacks that only presaged a fall campaign that, even when it features Mr. Biden, will be aimed entirely at drawing contrasts with Mr. Trump.",drawing,VISION,VISION,"[""VISION"",""STORY"",""FORCEFUL EXTRACTION"",""MONSTER"",""STRENGTH""]"
36,137,680,Wei:  I would draw a parallel between the carbon and climate predicament with cigarettes.,draw,VISION,VISION,"[""VISION"",""PHYSICAL LOCATION"",""PHYSICAL LOCATION"",""CRIME"",""HAZARDOUS GEOGRAPHIC FEATURE""]"
37,138,730,The remote regions I draw are the keystones of climate change but are inaccessible to most people.,draw,VISION,VISION,"[""VISION"",""STORY"",""ENERGY"",""AVERSION"",""FOOD""]"
38,139,682,"While the president has committed to putting forth aggressive rules aimed at tackling climate change, which he sees as a legacy issue, he has said almost nothing about the smog rule.",forth,MOVEMENT,MOVEMENT,"[""MOVEMENT"",""ENERGY"",""PORTAL"",""PATHWAY"",""ENSLAVEMENT""]"
39,140,731,"Despite that, Democrats see fighting climate change as a winning issue on the campaign trail — a way to mobilize not only young voters but also progressives, who are increasingly talking about the environment in terms of economic and social justice, given the outsize effect pollution has on minority communities.",mobilize,MOVEMENT,MOVEMENT,"[""MOVEMENT"",""VEHICLE"",""BACKWARD MOVEMENT"",""CONFINEMENT"",""MACHINE""]"
40,141,702,The strength of the American position at the talks lies in the enactment of the emission-curbing E.P.A. rule — the first major climate change policy put forth by the United States.,forth,MOVEMENT,MOVEMENT,"[""MOVEMENT"",""RESOURCE"",""ACCIDENT"",""HUMAN BODY"",""PHYSICAL LOCATION""]"
41,142,674,"“Obviously, we hope other major economies will put forth ambitious action plans of their own,” Carol M. Browner, the president’s senior adviser for energy and climate change, said at a White House briefing on Wednesday morning.",forth,MOVEMENT,MOVEMENT,"[""MOVEMENT"",""ENERGY"",""DISEASE"",""LOW LOCATION"",""FURNISHINGS""]"
42,143,692,"Several other candidates, including Mr. Sanders and Senators Kamala Harris of California, Kirsten Gillibrand of New York and Cory Booker of New Jersey, have formally backed the Green New Deal legislation but have not put forth their own major climate change policies.",forth,MOVEMENT,MOVEMENT,"[""MOVEMENT"",""ENERGY"",""FIRE"",""HIGH LOCATION"",""WEAKNESS""]"
43,144,676,"Now, with the cost of oil and natural gas used to generate electricity driving utility bills higher and evidence mounting that fossil fuel emissions are linked to global warming, is Shoreham worth a second look?",worth,GOAL DIRECTED,GOAL DIRECTED,"[""GOAL DIRECTED"",""POSITION AND CHANGE OF POSITION ON A SCALE"",""DISEASE"",""DELICACY"",""CONFINEMENT""]"
44,145,705,"We knew it was coming, but the event is still worth celebrating as further evidence of the strides this country has taken, since the Bush administration left town, to confront the problems of oil dependency and global warming.",worth,GOAL DIRECTED,GOAL DIRECTED,"[""GOAL DIRECTED"",""EMOTION EXPERIENCER"",""PARASITE"",""FORCEFUL EXTRACTION"",""A GOD""]"
45,146,728,"It’s hard to believe, but worth recalling, that during the presidential debates in 2016, not a single question about climate change was put to Hillary Clinton or Donald Trump.",worth,GOAL DIRECTED,GOAL DIRECTED,"[""GOAL DIRECTED"",""DESIRE"",""GAME"",""BUSINESS"",""STAGE""]"
46,147,689,"(You can read his views in my first long article on global warming, published in 1988; it’s worth noting that in 2005, Mr. Titus hedged his bets, spending $20,000 to elevate his summer house and yard on the Jersey Shore about five feet.)",worth,GOAL DIRECTED,GOAL DIRECTED,"[""GOAL DIRECTED"",""POSITION AND CHANGE OF POSITION ON A SCALE"",""RESOURCE"",""WEAKNESS"",""LIFE STAGE""]"
47,148,734,"I also thought it worth revisiting a particularly interesting comment from a reader, “joherz” of Bangor, Me., posted a year ago, musing on the revelations in relation to basic understanding of climate change:",worth,GOAL DIRECTED,GOAL DIRECTED,"[""GOAL DIRECTED"",""STRENGTH"",""FIRE"",""GAME"",""DOWNWARD MOVEMENT""]"
48,149,717,"The Democrats’ attempt to pass sweeping climate legislation in 2009 and 2010 probably reduced Americans’ anxiety level as well, as paradoxical as that may sound.",sweeping,MOVEMENT,MOVEMENT,"[""MOVEMENT"",""BUILDING"",""MACHINE"",""ENSLAVEMENT"",""PLANT""]"
49,150,684,"Liberal Democrats, including Representative Alexandria Ocasio-Cortez of New York, above, introduced their “Green New Deal” on Thursday with a sweeping resolution that would combat climate change, create jobs and counter President Trump’s challenge to core party values.",sweeping,MOVEMENT,MOVEMENT,"[""MOVEMENT"",""SIZE"",""PLANT"",""HIGH LOCATION"",""PARASITE""]"
0,151,905,"From the beginning, around 2002, she said one goal was to humanize the climate challenge the same way the feature film “Traffic” took on the sweeping story of the drug trade.",sweeping,MOVEMENT,MOVEMENT,"[""MOVEMENT"",""SIZE"",""HIGH POINT"",""PHYSICAL LOCATION"",""STORY""]"
1,152,912,"Democrats on Tuesday night officially approved a new party platform, outlining a sweeping set of policies on key issues including health care, climate change and the economy.",sweeping,MOVEMENT,MOVEMENT,"[""MOVEMENT"",""SIZE"",""PLIABILITY"",""ENERGY"",""MORAL DUTY""]"
2,153,892,But the scrutiny of a fossil-fuel company may signal a sweeping new front in the battle over climate change.,sweeping,MOVEMENT,MOVEMENT,"[""MOVEMENT"",""ABYSS"",""BUSINESS"",""VISION"",""COMPETITION""]"
3,154,885,"Noting that Ms. Harris was one of only 10 senators to oppose the renegotiated North American free trade pact, because it did not do enough to address climate change, the vice president argued that she had put a “radical environmental agenda ahead of Wisconsin dairy and <HIGHLIGHT>ahead</HIGHLIGHT> of Wisconsin power.”",ahead,MOVEMENT,MOVEMENT,"[""MOVEMENT"",""BACKWARD MOVEMENT"",""DELICACY"",""BUSINESS"",""LIGHT""]"
4,155,886,"The prelates’ appeal calls for a “major breakthrough in Paris” that puts “the common good ahead of national interests,” and advances a 10-point policy proposal “drawing on the concrete experience of people across the continents, and linking climate change to social injustice and the social exclusion of the poorest and most vulnerable of our citizens,” they wrote.",ahead,MOVEMENT,MOVEMENT,"[""MOVEMENT"",""FORWARD MOVEMENT"",""UPWARD MOVEMENT"",""CROP"",""GOAL DIRECTED""]"
5,156,896,But critics say it is yet another instance of the Bush administration's placing the interest of oil and gas companies ahead of the drive to reduce global warming.,ahead,MOVEMENT,MOVEMENT,"[""MOVEMENT"",""FORWARD MOVEMENT"",""DESIRE"",""CONFINEMENT"",""UPWARD MOVEMENT""]"
6,157,920,"Senator Rubio, on the issue of climate change, in 2008, you wanted Florida to get ahead of other states and establish a cap- and-trade system, a program for carbon emissions, which many Republicans thought at the time would hurt the Florida economy.",ahead,MOVEMENT,MOVEMENT,"[""MOVEMENT"",""FORWARD MOVEMENT"",""DARKNESS"",""STAGE"",""CLOTHING""]"
7,158,888,"President Obama thus has three critically important  environmental  appointments  ahead of him — four,  actually, when you count the fact that he has not had a vigorous advocate on environmental, energy and climate issues inside the White House since Carol Browner left her post as “energy czar” in early 2011.",ahead,MOVEMENT,MOVEMENT,"[""MOVEMENT"",""FORWARD MOVEMENT"",""PATHWAY"",""CROP"",""THEFT""]"
8,159,898,"WASHINGTON — Critics and supporters alike agree that the U.N. forum for negotiating international climate change policies is an ungainly mess, its annual gatherings marked by discord, disarray and brinkmanship.",forum,BUILDING,NO METAPHOR,"[""BUILDING"",""PHYSICAL LOCATION"",""BACKWARD MOVEMENT"",""SIZE"",""VEHICLE""]"
9,160,897,The bombings in London on Thursday knocked the meeting of major industrial nations off its carefully scripted focus on global warming and African poverty and turned it into a forum for President Bush and other world leaders to pledge unity in confronting terrorism.,forum,BUILDING,BUILDING,"[""BUILDING"",""COMPETITION"",""PROTECTION"",""ABYSS"",""ENSLAVEMENT""]"
10,161,914,"Although Mrs. Clinton ranged widely in five hours of testimony, speaking in detail on topics that included the coming negotiations in Copenhagen on climate change, she acknowledged that the eruption of violence in Gaza was likely to dominate her first days as secretary of state.",ranged,MOVEMENT,MOVEMENT,"[""MOVEMENT"",""BACKWARD MOVEMENT"",""COMPETITION"",""OBESITY"",""MOVEMENT""]"
11,162,910,"Brook and Bradshaw argue that the full gamut of electricity-generation sources—including nuclear power—must be deployed to replace the burning of fossil fuels, if we are to have any chance of mitigating severe climate change.",gamut,MOVEMENT,MOVEMENT,"[""MOVEMENT"",""GAME"",""MORAL DUTY"",""ABYSS"",""FACTORY""]"
12,163,903,"Daniel Becker, director of the Sierra Club’s global warming program, noted that Chrysler’s vehicle lineup was the one most heavily weighted toward pickup trucks and S.U.V.s.",lineup,MOVEMENT,MOVEMENT,"[""MOVEMENT"",""JOURNEY"",""OBESITY"",""PHYSICAL OBJECT"",""FAMILY""]"
13,164,882,The views expressed here on human-caused climate change run the gamut.,gamut,MOVEMENT,MOVEMENT,"[""MOVEMENT"",""SCIENCE"",""ENERGY"",""ABYSS"",""ANIMAL""]"
14,165,934,"She spoke about Finland’s challenges in coping with climate change, immigration and a movement of people to cities that is hollowing out rural communities.",hollowing,BUILDING,BUILDING,"[""BUILDING"",""PLANT"",""BACKWARD MOVEMENT"",""TOOL"",""CONTAMINATION""]"
15,166,915,"And just as in the early decades of the 20th century, when a conservative-dominated Supreme Court repeatedly struck down progressive economic policies like child labor and minimum-wage laws leading up to the New Deal fight, Democrats fear that the new majority will systematically crush their achievements — not just hollowing out past gains like abortion rights, but also striking down programs they hope to enact if they regain power, like expanding Medicare or efforts to curb climate change.",hollowing,BUILDING,BUILDING,"[""BUILDING"",""PLANT"",""RESOURCE"",""INSANITY"",""SERVANT""]"
16,167,926,"Dr. Gleick denied authorship of the most explosive of the documents, a supposed strategy paper that laid out the institute’s efforts to raise money to question climate change and get schools to adjust their science curricula to include alternative theories of global warming.",laid,BUILDING,BUILDING,"[""BUILDING"",""SHAPE"",""VEHICLE"",""PHYSICAL HARM"",""POSITION AND CHANGE OF POSITION ON A SCALE""]"
17,168,908,Crutzen wished to capture the imagination and frame the world in a word that would create urgency around the issue of climate change and other slow-building dangers accruing to the earth.,frame,BUILDING,BUILDING,"[""BUILDING"",""SHAPE"",""FABRIC"",""ENERGY"",""ENSLAVEMENT""]"
18,169,878,"Still, the growing momentum on the right is a sign that climate policy could still move forward in the Trump era — as long as it has broad support from American industry and is framed in other terms.",framed,BUILDING,BUILDING,"[""BUILDING"",""SHAPE"",""THEFT"",""VISION"",""LOW LOCATION""]"
19,170,918,"While Mitt Romney used his convention acceptance speech to mock the problem and the urgency of tackling global warming, President Barack Obama laid out a plan to increase the nation’s reliance on clean renewable energy, reduce dangerous air pollution and tackle global warming.”",laid,BUILDING,BUILDING,"[""BUILDING"",""PLIABILITY"",""ENERGY"",""IMPURITY"",""VEHICLE""]"
20,171,883,"Eileen Claussen, the president of the Pew Center on Global Climate Change, said the meetings helped frame some steps China could take that might satisfy senators worried about jobs flowing to Asia under a flawed climate deal.",frame,BUILDING,BUILDING,"[""BUILDING"",""SHAPE"",""STRUGGLE"",""DISEASE"",""MACHINE""]"
21,172,923,"''Ford's efforts to be a responsible corporate citizen,'' the Sierra Club said in a statement, ''are in stark contrast with the Bush administration's irresponsible remarks trivializing energy efficiency and President Bush's broken promise on curbing global warming.''",contrast,VISION,VISION,"[""VISION"",""STORY"",""GAME"",""MAGIC"",""STRENGTH""]"
22,173,904,"The positivist scientism that you call natural science and contrast with my devotion to dialectical materialism is not magical enough to convert me to the article of faith that is the theory of global warming, which is incompatible with current knowledge.",contrast,VISION,VISION,"[""VISION"",""LIGHT"",""MACHINE"",""PHYSICAL HARM"",""DESTROYER""]"
23,174,889,"Those remarks stood in contrast to Mr. Obama’s comments at his first postelection news conference, when he said he planned to convene “a wide-ranging conversation” about climate change and was vague about action.",contrast,VISION,VISION,"[""VISION"",""LIGHT"",""HIGH LOCATION"",""A RIGHT"",""HIGH POINT""]"
24,175,922,Those members are leading the way in addressing climate change -- a contrast with the paralysis in Washington.,contrast,VISION,VISION,"[""VISION"",""STORY"",""BODY OF WATER"",""RESOURCE"",""HUMAN BODY""]"
25,176,873,"Contrast that with the United States, where just 20 percent of electricity comes from nuclear plants, no commercial reactor has come on line since 1996, no new reactor has been ordered for decades, and debate about nuclear power remains paralyzing despite its clean-air electricity generation in the age of global warming.",Contrast,VISION,VISION,"[""VISION"",""COMPETITION"",""BODY OF WATER"",""CROP"",""THEFT""]"
26,177,887,WASHINGTON — President-elect Joseph R. Biden Jr.’s environment and energy team — facing a narrowly divided Congress and a hostile Republican leadership — will need creativity and perseverance if Mr. Biden is to follow through on his ambitious promises to address climate change.,hostile,STRUGGLE,STRUGGLE,"[""STRUGGLE"",""WAR"",""STAGE"",""OBESITY"",""SIZE""]"
27,178,917,"The proposal is the latest instance of the president’s use of his executive authority, which he has deployed in an effort to circumvent a hostile Congress on issues like immigration and climate change.",hostile,STRUGGLE,STRUGGLE,"[""STRUGGLE"",""WAR"",""HUMAN BODY"",""PROTECTION"",""PHYSICAL HARM""]"
28,179,872,Another comment objects to the phrase “tipping point” to describe when the planet reaches a threshold of irreversible climate change.,objects,STRUGGLE,STRUGGLE,"[""STRUGGLE"",""AVERSION"",""OBESITY"",""VISION"",""LOW POINT""]"
29,180,911,"They’re more inclined to identify as pro-life and anti-gun control, more doubtful about global warming, more hostile to regulation.",hostile,STRUGGLE,STRUGGLE,"[""STRUGGLE"",""AVERSION"",""PARASITE"",""GOAL DIRECTED"",""CONTAMINATION""]"
30,181,900,"President-elect Joseph R. Biden Jr. will face a narrowly divided Congress and a hostile Republican leadership as he tries to pass climate change legislation, piece by piece — knowing full well that the $2 trillion plan he campaigned on will be a tough sell.",hostile,STRUGGLE,STRUGGLE,"[""STRUGGLE"",""AVERSION"",""IMPURITY"",""AVERSION"",""HUMAN BODY""]"
31,182,932,"As you know, this weekend the BBC posed the question \\\What happened to global warming?\\\ taking many people by surprise.",taking,OBJECT HANDLING,OBJECT HANDLING,"[""OBJECT HANDLING"",""MOVEMENT"",""FOOD"",""LIFE STAGE"",""FURNISHINGS""]"
32,183,891,"One would hope that these events would shake President Bush out of his state of denial and add his authority to the chorus of governors, legislators and business leaders calling for an aggressive regulatory and technological response to the dangers of global warming.",shake,OBJECT HANDLING,OBJECT HANDLING,"[""OBJECT HANDLING"",""PLIABILITY"",""HAZARDOUS GEOGRAPHIC FEATURE"",""A GOD"",""DISEASE""]"
33,184,879,"Gov. Sarah Palin of Alaska, who recently caught political observers by surprise with her decision to resign as governor at the end of the month, slammed President Obama’s support of a cap-and-trade program to combat climate change, in a Washington Post op-ed piece Tuesday morning.",caught,OBJECT HANDLING,OBJECT HANDLING,"[""OBJECT HANDLING"",""PLIABILITY"",""DELICACY"",""RESOURCE"",""WAR""]"
34,185,884,Some fellow Democrats worry that he will be unable to shake his reflexive protection of the car industry or to recognize the groundswell of popular support for action against global warming.,shake,OBJECT HANDLING,OBJECT HANDLING,"[""OBJECT HANDLING"",""PLIABILITY"",""SCIENCE"",""FAMILY"",""PROTECTION""]"
